aircraft carrier	porte-avions
peas	petits pois
pencil	crayon
penguin	manchot
piano	piano
pickup truck	pick-up
picture frame	Cadre de l'image
pig	cochon
pillow	oreiller
pineapple	ananas
pizza	pizza
pliers	pinces
police car	voiture de police
pond	étang
pool	bassin
popsicle	glace
postcard	carte postale
potato	Patate
power outlet	prise de courant
purse	sac
rabbit	lapin
raccoon	raton laveur
radio	radio
rain	pluie
rainbow	arc en ciel
rake	râteau
remote control	télécommande
rhinoceros	rhinocéros
rifle	fusil
river	fleuve
roller coaster	montagnes russes
rollerskates	patins à roulettes
sailboat	voilier
sandwich	sandwich
saw	scie
saxophone	saxophone
school bus	bus scolaire
scissors	ciseaux
scorpion	Scorpion
screwdriver	Tournevis
sea turtle	tortue de mer
see saw	Balançoire
shark	requin
sheep	mouton
shoe	chaussure
shorts	shorts
shovel	pelle
sink	évier
skateboard	planche à roulette
skull	crâne
skyscraper	gratte-ciel
sleeping bag	sac de couchage
smiley face	Smiley
snail	escargot
snake	serpent
snorkel	tuba
snowflake	flocon de neige
snowman	bonhomme de neige
soccer ball	ballon de football
sock	chaussette
speedboat	vedette
spider	araignée
spoon	cuillère
spreadsheet	tableur
square	carré
squiggle	gribouillis
squirrel	écureuil
stairs	escaliers
star	étoile
steak	bifteck
stereo	stéréo
stethoscope	stéthoscope
stitches	des points de suture
stop sign	panneau stop
stove	le fourneau
strawberry	fraise
streetlight	éclairage public
string bean	Haricot
submarine	sous-marin
suitcase	valise
sun	Soleil
swan	cygne
sweater	chandail
swing set	balançoire
sword	épée
syringe	seringue
t-shirt	T-shirt
table	table
teapot	théière
teddy-bear	ours en peluche
telephone	Téléphone
television	télévision
tennis racquet	raquette de tennis
tent	tente
The Eiffel Tower	La tour Eiffel
The Great Wall of China	La grande muraille de Chine
The Mona Lisa	La Joconde
tiger	tigre
toaster	grille-pain
toe	doigt de pied
toilet	toilette
tooth	dent
toothbrush	brosse à dents
toothpaste	dentifrice
tornado	tornade
tractor	tracteur
traffic light	feu de circulation
train	former
tree	arbre
triangle	Triangle
trombone	trombone
truck	camion
trumpet	trompette
umbrella	parapluie
underwear	sous-vêtement
van	van
vase	vase
violin	violon
washing machine	Machine à laver
watermelon	pastèque
waterslide	Toboggan
whale	baleine
wheel	roue
windmill	Moulin à vent
wine bottle	bouteille de vin
wine glass	verre à vin
wristwatch	montre-bracelet
yoga	yoga
zebra	zèbre
zigzag	zigzag
